# Catálogo base TW Interactive — Tecprog World E.I.R.L.
# Codificación: UTF-8
# Cartera oficial consolidada: 14 servicios de ingeniería.
# Separador: |

id | linea | categoria | servicio | tipo | descripcion_corta | capacidades | publico_objetivo | entregables | precio_peru | precio_internacional | estado | nota_tecnica
tw-interactive-hidrologia-recursos-hidricos | TW Interactive | Recursos hídricos | Hidrología aplicada y gestión de recursos hídricos | Estudio y consultoría técnica | Estudios hidrológicos, disponibilidad hídrica, análisis de avenidas y modelación de cuencas para planificar, diseñar y gestionar proyectos vinculados al agua. | Caracterización hidrológica de cuencas; Análisis de precipitación y caudales; Estudios de máximas avenidas; Balance y disponibilidad hídrica; Modelación lluvia–escorrentía; Evaluación de inundaciones; Apoyo técnico para infraestructura hidráulica; Planificación y gestión de recursos hídricos | Entidades públicas; Empresas de ingeniería; Proyectos de infraestructura; Organizaciones usuarias del agua | Informe hidrológico; Memoria de cálculo; Mapas y resultados de modelación; Recomendaciones técnicas | Cotizar según alcance | Cotizar según alcance | vigente | La selección de métodos y periodos de retorno depende del objetivo del estudio y de la información disponible.
tw-interactive-hidrometria-aforos | TW Interactive | Medición hidrométrica | Hidrometría y aforos | Campaña de campo y análisis | Medición y análisis de caudales, niveles y velocidades en ríos, canales y tuberías mediante instrumentación y procesamiento especializado. | Aforos en ríos y canales; Medición de velocidad; Mediciones con ADCP; Caudalímetros y sistemas clamp-on; Monitoreo de niveles; Levantamiento de secciones transversales; Desarrollo de curvas de gasto; Validación de series hidrométricas | Operadores de infraestructura hidráulica; Empresas de ingeniería; Entidades públicas; Proyectos de monitoreo | Registro de campo; Base de mediciones; Cálculo de caudales; Informe de resultados y control de calidad | Cotizar según alcance | Cotizar según alcance | vigente | La instrumentación y el protocolo de seguridad se definen para las condiciones específicas del punto de medición.
tw-interactive-geodesia-topografia-geomatica | TW Interactive | Geomática | Geodesia, topografía y geomática | Levantamiento y procesamiento geoespacial | Levantamientos topográficos y geoespaciales con GNSS, estaciones totales, drones y procesamiento geomático para ingeniería y gestión territorial. | Topografía de precisión; GNSS y RTK; Aerofotogrametría; Ortofotos; Modelos digitales de terreno; Nubes de puntos; Cartografía y análisis GIS; Control y seguimiento de obras | Proyectistas; Constructoras; Operadores de infraestructura; Entidades territoriales | Planos topográficos; Puntos de control; Modelos digitales; Cartografía y archivos geoespaciales | Cotizar según alcance | Cotizar según alcance | vigente | La precisión alcanzable depende del equipo, la metodología, las condiciones del terreno y el control geodésico disponible.
tw-interactive-batimetria-hidrografia | TW Interactive | Hidrografía | Batimetría y levantamientos hidrográficos | Levantamiento hidrográfico | Caracterización del relieve subacuático y la geometría del fondo en ambientes fluviales, lacustres y marinos para proyectos hidráulicos y portuarios. | Batimetría monohaz y multihaz; Perfiles hidrográficos; Modelos digitales del lecho; Cálculo de sedimentación; Control de dragados; Estudios de navegabilidad; Apoyo al diseño de infraestructura acuática | Terminales portuarios; Proyectos hidráulicos; Operadores de dragado; Entidades públicas | Plan de levantamiento; Superficies y perfiles batimétricos; Modelo digital del fondo; Informe hidrográfico | Cotizar según alcance | Cotizar según alcance | vigente | El alcance considera condiciones de navegación, control de posición, nivel de referencia y requerimientos de seguridad.
tw-interactive-oceanografia-estudios-marino-costeros | TW Interactive | Medio marino y costero | Oceanografía física y estudios marino-costeros | Estudio oceanográfico | Medición, procesamiento y análisis del medio marino y costero para caracterizar oleaje, corrientes, mareas y dinámica litoral. | Análisis de oleaje; Medición y análisis de corrientes; Análisis de mareas y viento; Monitoreo oceanográfico; Dinámica costera; Línea base física marina; Estudios marino-costeros; Apoyo a infraestructura portuaria | Proyectos portuarios; Operadores costeros; Consultoras ambientales; Entidades públicas | Base oceanográfica procesada; Series, rosas y estadísticas; Caracterización física marina; Informe técnico | Cotizar según alcance | Cotizar según alcance | vigente | La representatividad temporal depende de la duración de las mediciones y de las fuentes complementarias disponibles.
tw-interactive-modelacion-hidraulica-hidrologica-cfd | TW Interactive | Modelación y simulación | Modelación hidráulica, hidrológica, CFD y simulación ambiental | Modelación numérica | Simulación numérica de sistemas hidráulicos y ambientales para evaluar escenarios, optimizar diseños y sustentar decisiones de ingeniería. | Modelación hidrológica; Hidráulica 1D, 2D y 3D; Dinámica de fluidos computacional (CFD); Evaluación de inundaciones; Flujo en ríos y canales; Dispersión y vertimientos; Transporte de sedimentos; Análisis de sensibilidad, calibración y validación | Empresas de ingeniería; Operadores industriales; Proyectos hidráulicos; Consultoras ambientales | Modelo numérico; Escenarios y mapas de resultados; Memoria de supuestos y calibración; Informe de simulación | Cotizar según alcance | Cotizar según alcance | vigente | Los modelos representan escenarios bajo supuestos explícitos y no sustituyen mediciones ni verificaciones técnicas requeridas por el proyecto.
tw-interactive-ingenieria-maritima-portuaria-costera | TW Interactive | Infraestructura marítima | Ingeniería marítima, portuaria y costera | Planificación y diseño de ingeniería | Planificación, análisis y diseño de infraestructura marítima, portuaria y costera considerando su comportamiento hidráulico, operación y entorno físico. | Planificación portuaria; Diseño conceptual; Muelles y rompeolas; Defensas e infraestructura costera; Layout portuario; Estudios de maniobras; Análisis operativo; Estudios complementarios de ingeniería marítima | Terminales portuarios; Inversionistas; Proyectistas; Operadores costeros | Criterios y bases de diseño; Alternativas conceptuales; Planos y memorias; Informe de evaluación técnica | Cotizar según alcance | Cotizar según alcance | vigente | El nivel de detalle se ajusta a la etapa de perfil, prefactibilidad, factibilidad o ingeniería del proyecto.
tw-interactive-inspeccion-subacuatica | TW Interactive | Inspección de infraestructura | Inspección subacuática e infraestructura sumergida | Inspección y evaluación técnica | Evaluación técnica de estructuras y componentes sumergidos mediante inspección, registro visual y análisis documentado de su condición. | Inspección de pilotes; Revisión de tuberías y emisores submarinos; Inspección de infraestructura portuaria; Registro visual; Levantamiento de condición; Documentación técnica; Soporte a mantenimiento | Terminales portuarios; Operadores de tuberías; Proyectos costeros; Responsables de mantenimiento | Plan de inspección; Registro visual georreferenciado cuando aplique; Matriz de condición; Informe y recomendaciones de mantenimiento | Cotizar según alcance | Cotizar según alcance | vigente | No se afirma ejecución directa de buceo profesional; se coordina personal especializado y/o aliados habilitados según los requerimientos del proyecto.
tw-interactive-gestion-ambiental | TW Interactive | Gestión ambiental | Gestión ambiental e instrumentos de gestión ambiental | Elaboración y soporte técnico | Soporte técnico para evaluación ambiental, línea base, identificación de impactos y seguimiento de compromisos en proyectos de inversión. | Línea base; Evaluación de impactos; Cartografía ambiental; Monitoreo; Planes de manejo; Seguimiento de compromisos; Soporte técnico para instrumentos ambientales; Análisis territorial y ambiental | Titulares de proyectos; Consultoras ambientales; Empresas de ingeniería; Operadores de infraestructura | Información técnica de línea base; Matrices y cartografía; Aportes para instrumentos ambientales; Reportes de seguimiento | Cotizar según alcance | Cotizar según alcance | vigente | La elaboración y el soporte técnico se brindan según el alcance y las habilitaciones requeridas; no se afirma una autorización no documentada.
tw-interactive-permisos-concesiones-licencias | TW Interactive | Gestión de permisos | Permisos, concesiones y licencias técnicas sectoriales | Asistencia técnica documental | Asistencia técnica para estructurar, revisar y dar seguimiento a expedientes requeridos durante el desarrollo de proyectos de ingeniería. | Diagnóstico de requisitos; Preparación técnica de expedientes; Planos y memorias; Atención de subsanaciones; Seguimiento documental; Permisos sectoriales; Autorizaciones y concesiones; Licencias técnicas | Titulares de proyectos; Inversionistas; Empresas de ingeniería; Operadores de infraestructura | Matriz de requisitos; Expediente técnico organizado; Planos y memorias de soporte; Control de observaciones y seguimiento | Cotizar según alcance | Cotizar según alcance | vigente | La asistencia técnica no implica representación de entidades ni garantiza la aprobación de permisos, concesiones o licencias.
tw-interactive-riesgos-contingencias-resiliencia | TW Interactive | Riesgos y resiliencia | Gestión de riesgos, contingencias y resiliencia climática | Evaluación y planificación | Evaluación de amenazas y escenarios de riesgo para fortalecer la prevención, preparación, respuesta y continuidad de proyectos e infraestructura. | Mapas de peligros; Evaluación de inundaciones, huaicos y sequías; Análisis de oleaje extremo; Planes de contingencia; Continuidad operativa; Análisis de vulnerabilidad; Adaptación climática; Resiliencia de infraestructura | Operadores de infraestructura; Entidades públicas; Proyectos de inversión; Empresas con activos expuestos | Escenarios y mapas de riesgo; Matriz de vulnerabilidad; Medidas de prevención y respuesta; Plan o protocolo de contingencia | Cotizar según alcance | Cotizar según alcance | vigente | Los escenarios se construyen con la información disponible y deben actualizarse cuando cambien las amenazas, la exposición o la operación.
tw-interactive-factibilidad-viabilidad-evaluacion | TW Interactive | Evaluación de proyectos | Estudios de factibilidad, viabilidad y evaluación técnico-económica | Estudio de preinversión | Evaluación integral de alternativas de proyecto mediante criterios técnicos, operativos, económicos, territoriales y ambientales. | Prefactibilidad; Factibilidad; Análisis multicriterio; Comparación de alternativas; Estimaciones de costos; Evaluación operativa; Análisis de riesgos; Due diligence técnica y apoyo a decisiones de inversión | Inversionistas; Titulares de proyectos; Entidades públicas; Operadores privados | Matriz de alternativas; Estimación técnico-económica; Registro de riesgos; Informe de viabilidad y recomendaciones | Cotizar según alcance | Cotizar según alcance | vigente | Las estimaciones corresponden al nivel de información y madurez disponible y se refinan en etapas posteriores de ingeniería.
